Company|SCORE|SENTIMENT_LABEL
Apple|0.25698152622571235|negative
Software-Engineer-6|0.6|positive
Performance-Software-2|0.16685374149659862|negative
Collins-Aerospace|0.30483551941885284|positive
Deloitte|0.332406376692091|positive
Iboss-Network-Security|-0.14448596657205928|negative
Intel-Corporation|0.27164474765740587|positive
Infosys|0.17471051787718456|negative
JPMorgan-Chase-&-Co-7555c073|0.2584507678410118|negative
Raytheon|0.25798776455026473|negative
Leidos|0.2381832146348277|negative
Wells-Fargo|0.24582614303504716|negative
S&P-Global|0.2773779602750191|positive
Salesforce|0.3313804713804713|positive
General-Dynamics-Information-Technology|0.2530187074829932|negative
Capgemini|0.17621098200045573|negative
Hii-9|0.21134954844006562|negative
Capital-One|0.21398957555854112|negative
Fidelity-Investments|0.34484770060857023|positive
Revature-8|0.1303036974441084|negative
IBM|0.29541764584621716|positive
Recruiting-From-Scratch|0.3361111111111111|positive
Vmware|0.4694084848484849|positive
Meta-dd1502f2|0.21031116534472244|negative
Oracle|0.2475554554934117|negative
Cognizant-Technology-Solutions|0.3778779079998591|positive
Warner-Bros.-Discovery-1|0.26690867003366997|positive
Bayone-Solutions|0.1285714285714285|negative
Boeing|0.3517917429326825|positive
Siemens|0.17235858789199293|negative
Microsoft|0.3241845275936184|positive
Chase-2|0.29854244987468687|positive
Geologics-Corporation|0.23196036967418546|negative
Tata-Consultancy-Services-(tcs)|0.29808003346346884|positive
Booz-Allen-Hamilton|0.3342534094977705|positive
Cisco-Systems-582836a8|0.34307450034994946|positive
CACI-International-1|0.2564967040535221|negative
L3harris|0.18904023225451796|negative
Intellibus-2|0.0|negative
Lockheed-Martin|0.30988888888888905|positive
Humana|0.29803923160173174|positive
Servicenow|0.2998997493734337|positive
Amazon.com|0.08966143194866592|negative
Google|0.4014877164502163|positive
Jacobs|0.2751027365491652|positive
Fiserv|0.20563627743937476|negative
General-Motors|0.2745096895292207|positive
Peraton|0.21289685135008882|negative
Northrop-Grumman|0.3275768474946106|positive
Accenture|0.26678499278499285|negative
