Company,Reviews
Apple,"





The Best Job Ever
Working at Apple was a great experience. Work never felt like work because I loved what I did and I loved interacting with the public. The store was always electric, although others may say crazy. I'd say electric because the experience was exhilarating.

The managers were all great and they were never above doing what they asked of their employees.

The benefits and pay were amazing for a part time job.

Working for a company with a brand such as Apple and experience to match that brand made me want to stay forever.

This is a job I truly miss and I am thankful for the opportunity that I was given!

Work environment
Parking

62

26
Productive
It’s been a while since I’ve worked for the company but never the less it was a positive and upbeat environment. There was pressure to meet sale goals and standards so you will definitely appreciate the busyness. Too busy especially the holidays!

Very different retail experience
I worked at the Genius Bar troubleshooting issues with mobile devices for just over a year. I had a lot of different retail and food service experiences but I have to say that working at the Apple Store was a very interesting and unique experience. I learned a TON, not just about iPhones and software but just about customer service in general. I think their training for how to deal with customers is really impressive. I use the techniques I learned there in other jobs and in life in general. I did expect to get more technical training. A lot of the “fixes” for software issues are things you just learn on the job and I felt that the most common issues could have been focused on an practiced in training a lot more than they were. A lot of the people I got hired with are are still there and have moved into other roles or have been promoted. Several have moved to corporate positions. There are definitely opportunities for advancement if you stick with it long enough. Great benefits and decent pay for retail which gets better if you move to corporate level positions. I’d recommend it for people who like Apple and the tech industry. You meet all sorts of people and it will be an interesting experience.

Great employee benefits, impossible mobility
Pay so so. Benefits great. No movement within. Raises are based on annual performance as is schedule bidding. High high standards- they tell you upfront it’s hard to get a “meets expectation” and “exceeds” are rare. If you want opportunities- don’t have a family. Rotations are hard to get and other opportunities require relocation but they won’t accommodate you with kids.

Was great, not anymore
Great for the first 5 years, but afterwards the koolaid gets REAL bitter.

Experience really depends on your management. Management gets paid close to 6 figures for doing nothing.

Co-workers can be cool, but some exhibit some seriously concerning Apple cult behaviors.

Good job for while you’re in college (part time hours fluctuate which can be a good thing or a bad thing) but definitely not a career.

No clear path from retail to corporate either.

Fun
It’s a good pay good environment I recommend it to anyone . Job security is high and good work life balance . People stay for a long time for a reason

Metric driven
Metric driven with no rewards. Constantly being pushed by management to reach targets that are far beyond store average or even possible. Good for short term only

It was disappointing
What is the best part of working at the company?
Many teammates were friendly and helpfu

What is the most stressful part about working at the company?
Job required was outside of my skill set and domain

What is the work environment and culture like at the company?
Segmented. There are great teammates but focus is not on team

What is a typical day like for you at the company?
Trying to figure out what my duties were

Best place to work
What is the best part of working at the company?
Apple is a great company. I receive a good salary, bonuses, stocks, and a salary increase every year!

What is the most stressful part about working at the company?
I believe it's when we start a new project.

What is the work environment and culture like at the company?
Teamwork, flexible work hours, recognition for hard work, opportunities for growth, inclusivity, and a balance between work and personal life.

What is a typical day like for you at the company?
My systems wake up and begin self-checks, ensuring everything is functioning optimally.

excellent
management was nice the hardest part of the job is the customers they are sometimes rude and annoying and the most enjoyable thing is looking at the new devices the store gets

Fun
Good place to work. Very fun. Lots of clients and lots of leads. Smart people all around you in the campus. I am extremely lucky to have worked at this

Metric based, small environment and cool Co-workers
Awful leadership to start off. They do orientation with mental health, passion for customer service and more in mind but don't actually abide by it. They constantly target and attack you to reach these metrics that don't merit any incentive to reach.

You can target metrics consistently and even be a leader in those catergories and the manager will reap the benefits with 5 figure bonuses.

It isn't fair for a 3 trillion dollar company they are truly selfish when compared to the overall compensation of companies.

Best for short term, they work with schedule if you're in school wouldn't go further than that.

Nice place to work
Not a bad place to work. They have good work-life balance and good pay. But not very good for career progression. But overall a good place to work lsl

fun
fun but can be stressful in times of high velocity. good benefits great people. but sometimes slightly too numbers oriented. Apple will try and make you live and breathe apple to work there.


Was a Great place to work... back then.
Apple was a great place to work, now it's but a great place to WOKE.
The entire leftist socialist libturd mentality at Apple. Don't compromise your integrity.

Lots of being yelled at by customers
You’re at call center all day getting yelled at by really impatient unreasonable people but benefits are good pay is ok and no growth really from that point

Woke Agenda
Forced woke meetings every morning in retail environment. Have to walk on eggshells around everyone. Only good benefit was they help pay tuition, and had many benefits for a retail job, especially for a college student.


1
Great place to work
In my job as a distribution clerk, I managed the flow of goods in a distribution center. My responsibilities included receiving, storing, and dispatching products. I keep track of inventory, ensure proper storage of items, and process orders. I use computer systems to monitor inventory levels and order statuses. Part of my work involves preparing items for shipping, including packing, labeling, and making sure they are sent to the right destination. I really enjoyed my time.

Fell Smitten with the company and the apple lifestyle.
Get in past all the biometric scanning. To then go up stairs and clock in like normal. Do a mental health check in and then daily group debrief called “ daily download”. Open conversation about operations and everyones well being. Proceed to walk to provide an experience to clientele. The most rewarding part is meeting people from all around the world, and having those moments of relation with people who have different perspectives on view of life. Rapport always super amazing. Best job I've ever had. Gives me purpose. They care so much about you so you can care more about the people who make the company flourish. Balanced Ecosystem based on love.

Rapport Building, Employee wellness
bad work
Pros

We work with geniuses - in every department, We create innovative products that thrill our customers and create new product categories - who else can say that?

Cons

ZERO ZERO ZERO work/life balance. Execs have been saying for YEARS that they understand and will make it better. But in actuality, it gets worse every year! It is obviously top management LIP SERVICE because if they meant it, they could fix it tomorrow. They have hundreds of BILLIONS in the bank. If they REALLY cared about employee work/life balance, they could bring aboard the right number of folks to make that issue dissolve. Sick of hearing the lies. Just don't lie about wanting to fix it, when they clearly DON'T care

good place to work, good benefits
good place to work, fun and engaging most of the time. Challenging as well, but if you're good with people you will go far. Able to travel and looks good on your resume too.
"
Software-Engineer-6,"




software engineer
XL Dynamics company is very interesting place in work place, workers are always in cooperated in this company, good company for all employees satisfied in this company

Good team management
Benefit and perks

1"
Performance-Software-2,"





Joob place to work
Limited work opportunities available you get stuck on testing work unless you are part of the inner circle. Free snacks and drinks. Flexible work hours.

Great avionic company to be a part of
Overall a good place to be if you like avionic or embedded software work in test. Would like to see more variety in projects offered and more training offered to stay relevant as an embedded engineer.

free team lunches, free snacks, company hosted events, can buy out more vacation time
work can be bland sometimes
Great Place to Intern
Great work environment. Flexibility is provided for students when interning. Interns are expected to perform but are also given necessary support to meet those expectations.

Quick pace company needs improvement in work/life balance
Performance software is a young engineering firm mainly with junior to intermediate level engineers. The job nature is to get contracts from different engineering firms and distribute to the in-house engineering teams. The company provided a dynamic expertise and interesting environment since the scope of the job could changed frequently. There is room for improvement in term of work/life balance.

Interesting job nature
Stressful
Great Culture and Hard Work
There are a lot of really hard working and amazing people at this company. It's truly inspiring to be able to work with these people. The culture is amazing, but the work is demanding. I don't think there has been a single project that I have worked that didn't require overtime. There seems to be this weird roller-coaster of highs and lows where you'll being working overtime for weeks to complete a project and then after the project is completed, you are just waiting around doing fluff work until you can be placed on a new project. I feel a wonderful sense of job security because I know I'm supported and I feel the company wants me to succeed. I have had many opportunities with some great people to learn new things and try to grow, but you need to be dedicated to the job if you want to work at performance software.

Amazing people, job security, room to grow
Overtime, Low work between projects, company process changes
Not a good place to work for young engineers
Most of the projects they will put you on are testing projects. They get very little work in the way of software development. The pay and benefits aren't very competitive. The projects are very poorly managed as they typically promote by seniority and based on ones technical ability and not on their actual leadership abilities. I had too many projects where the Project Manager had terrible leadership skills. The projects always seemed to be poorly run and the customer never seemed to be happy with Performance. The companies organizational structure was constantly changing. Seemed like they never knew what they were doing with their hierarchy. I would not recommend this company to anyone. Spend some extra time job searching and go somewhere else.

Stepping Stone
Great place to learn. No advancement opportunities. Management has poor communication with employees. They believe in whatever they want to, without consideration to facts or proof of what actually is going on.

Snacks
Fun workspace with ok management.
For years, Performance had been a fantastic place to work, with great projects and opportunities to advance. Unfortunately, their inability to maintain a company structure that is flexible enough to adapt to the fast changing demands of the industry, resulted in multiple changes within the chain of command. The new management in my opinion has failed to uphold the standard the company was founded on and in return lost focus on what's important. That being said, it is still a great company to be a part of and has some extremely talented engineers.

Fully stocked kitchen and game room
Advancements are slow and bonuses almost non existent.
Productive workplace with a positive culture
I work a lot on documentation, as all Software Engineers do. Sometimes I will get to write code, but the paperwork consists of most of the work. I learn a lot about the software design and testing processes each month. The management is focused and considerate, which creates a positive environment and produces effective results.

Long, boring days in a dull work environment.
Work load / quality depended completely on your assigned project. A majority of your work will be in excel, or excel-type documents. You will very rarely touch any type of codebase. Take this internship only if it is your only option.

Unlimited snacks
Often long days with very boring work
Flexible, fast growing engineering support company
Performance Software is a very skilled group of engineers that are usually assigned to provide technical support to other companies. Performance Software does not build products for sale but help other companies build products for sale. Performance Software has flexible work hours and often sends people to other work-sites to provide the expertise. Some projects are as short as 2 to 3 months and some are a few years. The company is relatively small, i.e. less than 500. As a result, when some contracts are obtained, the company has to ramp up fast and when projects are over Performance has to let people go.

very fun, comfortable and open work area.
Very helpful people. Fun and productive at the same time. Lots to learn
Hours are flexible.
People are helpful and friendly.
Lots of projects and opportunities to learn new things.
CEO is very accessible and friendly.

Greate starting off job
Staff is nice, management is nice, and they keep you in mind. Never had a complain about the management or any employee there.

Free food in the kitchen.
Alittle bit under paid."
Collins-Aerospace,"





Flexible schedule
Each employee has an individual development plan, you can work with your manager to take your career in the direction you want to go. There are many different departments to work in.

Fun workplace
Great place to work, great team mates. New building, good leaders, great growth from within. Great team work, lots of OT if you want it. Good time off


1
They don't care about employees.
Management is totally clueless and don't care about employees.
Senior management are even worse.
They used to allow remote work but are now forcing people back into the office.


Great experience, great team and management
I enjoy working at Collins. The pay is a low for the cost of living in the area. However there is overtime available. The management is great and the team environment helps give a work life balance.

This is a very rule-bound company.
What is the best part of working at the company?
The pay is very good, and I've had the pleasure of working with some very good people, as well.

What is the most stressful part about working at the company?
Too much work to do and not enough people to do it, especially in my particular department. Management (with which the company seems to be rather ""top-heavy"" is also too numbers-oriented and not in tune with the concerns of the employees on the floor. There also never seems to be any shortage of people who apparently know enough about my job to criticize me when I've made a mistake, but they never know enough to help me with the workload.

What is the work environment and culture like at the company?
This is a very rule-bound company. I understand the reason for that, which is that the company is a government contractor, and it deals in a federally- and internationally-regulated industry. Security is extremely tight. Additionally, as I note in a previous response, the company also seems very ""top-heavy"" with management, and the managers are very numbers-oriented and not really in tune with the concerns of the employees on the floor.

What is a typical day like for you at the company?
The day is long. There's never any real ""down"" or ""slack"" time, because I always have something to do. The pace is very fast.

productive and fun place to work that offers a lot still has challenges.
What is the best part of working at the company?
Culture and open to trying new things.

What is the most stressful part about working at the company?
Poorplanning and frantic last minute deadlines.

What is the work environment and culture like at the company?
Good friendly and positive. Welcoming.

What is a typical day like for you at the company?
Busy. What's up fast moving pieces not integrated very well with parent company.

Average workplace
Company is fine, pay is average for the industry. Benefits are probably a bit above average. 401k match ends up being like 6%, plus a bonus payment percentage based on your age.

Great place to grow
Being a design engineer at Collins allows you to become a well-rounded engineer because we work with a large variety of materials and processes. Sometimes you can get stuck in a team that isn't working on any new designs and that can get old, but most managers are open to you moving to another team if you feel like you need a change and people are promoted pretty quickly. Diversity and Inclusion initiatives have been on the rise, although overall there is a pretty low level of diversity. The company has been vocal about wanting to improve employee well-being and all levels of management I have worked with have been open to direct feedback. Sometimes our new grads can fall through the cracks a bit on busy teams, but there are great mentors in the department who enjoy teaching. There have certainly been some layoffs in the past few years, but the executives are working on financial strategies that sound sensible to me. Overall very few complaints!

Loved my job
I worked for Collins for a long time. Loved the people. Some of the upper management need better people skills, but I still loved my job and enjoyed working there.

Exciting and challenging projects
Great place to work. Challenging assignments and lots of opportunities for learning and growth. I work with many capable and hard working engineers, which elevates my own skill set.

Well worked, but always had great times each day as we work towards finishing the requjired work.
What is the best part of working at the company?
The ability to teach other employees to enhance their career, great places to work at.

What is the most stressful part about working at the company?
I never had the stress. Folks were very much tuned in with most of everything I had ever dealt with. ENJOYED IT ALL,

What is the work environment and culture like at the company?
Everyone was a go getter to accomplish the work loads and perfect the actual requirements as well.

What is a typical day like for you at the company?
A great day and a day that helps others and training them.

Good stress free
Good place to work and stress free ot when available good pay and good management fellow employees are good i like it better then other companies ive been too

Company is suffering through multiple buyouts
Management is a mess and cannot accurately commit to any schedules due to lack of technical expertise. Most managers lack the skills necessary to reasonably project deadlines or foresee roadblocks. Put simply, there are three managers for every actual engineer. This company is not on the ""up and up.""

I won’t be going back, you either an insider or outsider. Real values are lost.
What is the best part of working at the company?
The type of projects and interesting platforms that they are working on. Good employee base and good location.

What is the most stressful part about working at the company?
Tight, deadlines, inexperienced leaders and it’s stressful deliverables

What is the work environment and culture like at the company?
Everybody knows everybody it’s a buddy buddy system

Fast paced
Dynamic fast paced environment. , Regular schedule, level loaded production. Open culture with willingness to listen to your ideas about automation and process improvements

No growth opportunities
If you want to stay in the same position for the rest of your career this is for you. Company has good benefits but management lacks leadership in development category.

Kind people lots of change
The culture again how people treat each other and the desire to make great products for customers is the best in the industry. The constant change over the past few years makes it hard to do your job.

Great people that work there
People work well there as a team. The comradery there is great. Executive leadership is consistently changing with in the business unit. This makes for policy and direction to be unstable.

Average
Rockwell Collins was way better. Much more corporatized now, but that can be to the benefit of some. Opportunity to advance if you seek it. Climate control is nice.

Great company
Great management and team work. Lots of opportunities to work cross functionally. Good mentorship and internship programs offered to young employees. Offer great benefits package

Supportive Work Environment
I had the privilege of completing an internship at Collins Aerospace, and I can confidently say that it was a remarkable and transformative experience. From day one, I was welcomed into a dynamic and innovative work environment that encouraged personal and professional growth.

"
Deloitte,"





Productive and fun workplace
Great place to start out of school. Excellent learning and growth opportunies. Followership and mentorship are emphasized. Collegial and helpful team members. Exposure to tons of different business models. Brand recognition and good rewards.


3
Challenging work/life balance, decent Benefits
Great place to start your career in Accounting and a great resume builder. However, the hours are long, not enough pay for the amount of work and effort and dedication to the Company. Benefits are decent.

Good benefits but underpaid
will work you to the core however annual compensation is largely driven by company wider performance, therefore if the Company does not hit targets, regardless of your work performance, you will likely not see large raises unless it is a promotion year.

Nice place to work
People are very nice and willing to help. There is a lot of projects to work on it. People love meetings and coffee chats here. Would reccomend! Not too hard.

High performing workplace
Deloitte has been a good career spot for me to pivot my career path in a slightly different way. Current layoffs cause a feeling of anxiety but there is still growth in sectors outside of tech

Great place to get a breadth of skills
At Deloitte I was able to be a UX/UI Designer, Front End and API Engineer, and Product Manager. I couldn't have had this breadth of experience in industry. Fantastic training, learning and development

Decent company, room for improvement
Deloitte has a lot of smart people and interesting opportunities. However there's also a lot of internal competition and Deloitte doesn't practice some of the values it preaches, leading to a culture where people are polite but not always authentic because everyone is looking out for themselves rather than truly being a team.

Good compensation, learning opportunities, smart people
Lack of real connections, a lot of people stressed out and trying to get ahead
Career opportunities and development
Company with a lot of opportunities and place to develop yourself. There are a lot of learning opportunities in this company.

Salary is upper average but not high.

No work-life balance
Great for career advancement. Good pay. Good benefits. But no work life balance. Lot of long hours. Too much pressure. Pressing deadlines. Makes having family life difficult

Get in with the Cool Kids and all will be well
What is the best part of working at the company?
Benefits were good. Pay was good.

What is the most stressful part about working at the company?
Getting all the right hours in by year’s end. Client hours and firm initiative.

What is the work environment and culture like at the company?
Too much favoritism. I spoke up about an employee who was contemplating harming self due to the work situation. When I described the situation to my manager he called me a liar. As i pleaded with him to take action, the volume of my voice increased . As a result, I was reprimanded for insubordination. My colleague got the help needed despite the inaction of a person in the position of authority.

What is a typical day like for you at the company?
Very busy and engaging. Work with clients directly, and responsible for others.

Dynamic workplace
Great learning experience and networking opportunities!

It’s a workplace/school in one, except it’s more a practical learning approach. Amazing clients can open up new avenues for you.

In
Pros: Intelligent coworkers, good client portfolio, challenging work

Cons: Overworking certain people and not compensating for it. Hard to jump teams if you don’t have great experience. Won’t let you switch to ARA.

A lot of cost cutting measures - negligible bonus, poor salary increase, lack of work events

Good workplace
Great place to work with room for improvement. Busy season gets pretty overwhelming and depressing and sometimes lasts all year round so keep that in mind

Great name and experience, mixed bag development
You'll work on well-known clients and get great experience that will allow you to get that next best job after a period of time. But your experience will avry based on what clients you are put on and who your manager is. Some of my client teams were great but others there was no direction and you were left to fend for yourself in figuring things out. Probably mentorship would be more focused at a smaller firm but again, your experience will vary based on your manager and clients.

Productive
Challenging work environment with plenty of support from peers and leadership. Great place to gain experience and grow your career. Plenty of opportunities to gain exposure to a variety of projects.

Great Place to Work
Loved my experience at Deloitte. Very generous with time off that could accumulate and be rolled over into the next year. Can be long hours at times but never necessarily felt overworked.

Great learning experience. Poor mental health
Great place to learn. You will learn a lot in a short amount of time. Work life balance is okay if you get a good/nice management but if not your mental health with greatly decline.

Benefits are good but WLB sucks
Depending on your project and how well it is ran, management can pretty much make or break you. The Work Life Balance is more like Live to Work balance. There are so many requirements for you to pass compliance. Benefits are decent

Great culture and technical skills
Enjoyed working for Deloitte and learned a lot while there. Training is exceptional and the Company is truly invested in you being successful. Hours are manageable

good work environment lots of competition
Good place to grow and learn a lot of core consulting skills. Lots of interesting and great work. find your tribe of people and stick with them. creating decks is the name of the game.

Ok
Good experience and got to learn from a lot of very impressive people, including my manager and second coach. However, pipeline was not good and focus on having to do extra-curriculars for a promotion was not enjoyable
"
Iboss-Network-Security,"




Management thinks YELLING IS OKAY!
The management was quite awful. The behavior was terrible. They thought that being aggressive and yelling at employees was okay. It is not. It made the work ambiance toxic and hostile. People couldn't waait to run away and avoid the daily shouting. I left quickly too.

What the management expects are simply unreasonable
The goals set by the management are simply unreasonable. It's like the leadership blatantly creates unattainable targets to pressure and force the employees to work much harder despite the awful compensation and benefits. If the management wants better output, then it should also provide better support, guidance, and compensation. But none of these are present.

Unrealistic Sales Goals, Disrespectful Management, and Broken Promises
From the moment I started working here, it was obvious that the bosses had unrealistic hopes for the sales team. They kept pushing us to make sales, even if we didn't have the tools we neeeded. And when we didn't meet their targets, they scolded us and made us feel worthless. Another irritating thing about the job was bad the communincation from the bosses was. They often gave us confusing or conflicting instruction, making it hard to do our jobs right. When we asked for help, they talked down to us and brushed us off. On top of that, the bosses never kept their promises, so we were always rushing to meet our goals at the last minute. All of this stress and uncertainty made it really hard to stay motivated and get work done. Overall, the mix of unrealistic goals, disrespectful bosses, and unreliable support made the workplace really unhealthy and impossible to do well in.

Selfish Management Makes Terrible Decisions
The top management was extremely selfish. They made some poor decisions and hired people on a whim. Then, they let go of those people without thinking about how they would manage without a job and a paycheck. Their arrogant and awful attitude led to many people fearing job loss and being under constant stress due to it. As I was one of them, I left before things became mere complicated.

It's a small company so you know everybody.
Unsupportive Management and Soul-Crushing Workload
Let me tell you, the CEO there was an absolute disaster. First of all, I never got the proper suport or guidance from my manager, so I was left hanging, not knowing what the h*ck I was supposed to do. The whole setup wa biased in favor of the higher-ups, and they treated us, the little guys, like we were disposable. And let's not even talk about the pay-it wa insulting! I felt severly underpaid for the mind-numbing and soul-crushing work they expected me to day in and day out. The workload was just impossible to handle, and with the CEO's lack of direction, it was like walking through a maze blindfolded.

Responsibilities were brutal and more exhausting than I'd ever imagine!
The amount of multitasking was crazy insane and the responsibilities were brutal, stressful, and more exhausting than I'd ever imagine!

Company's Inconsiderate Approach Towards Addressing Concerns Lead to Dissatisfied Clients
Although the technical team exhibited commendable expertise, the lack of effective communication channels with supervisors stalled progress. Additionally, an obstinate resistance to adapt to evolving industry trends resulted in a thrashing of potential opportunities for growth and innovation. The company's inconsiderate approach towards addressing customer concerns further compounded the situation, leading to dissatisfied clients.

Ruining my life
Entire team surpassed sales goals last year and we all received a 50% pay cut, along with more workload. I have never in my life seen a company screw their employees this bad.

CEO's Close-Mindedness: A Hindrance to Innovation and Growth
My optimism quickly turned to disappointment as I encountered the CEO's close-mindedness, which transformed it into the worst professional experience of my career. His behavior was reminiscent of a blockhead, lacking any semblance of open-mindedness or willingness to consider alternative perspective, making it difficult for employees to propose new ideas or challenge existing processes. Instead of fostering an environment of collaboration and growth, the CEO's narrow-minded approach created a toxic atmosphere that hindered both personal and professional development.

What a terrible and inhumane work place!
The culture and overall environment is built around instilling fear. Micromanagement is at its highest level. Upper management wants to control every little thing. You can even overachieve in targets, they will always find something negative to focus on. Moreover, they underpay people and when they needed a pay rise mist, they turned their back. This was the worst mistake I ever made, I had so many offers and took this job over other simply because of the lies I was being told.

I've learned what NOT to look for in an employer, literally the only good thing to come out of working there.
Frustrating, demoralizing and dumb place to work
iBoss will sell you hopes and dreams but never deliver on any of them. If you started working there recently, be warned, get out while you still can. Management seems to think that employees are interchangeable, so they will lay off a bunch of people without any explanation. Also, they love to micromanage rather than trust the subject matter experts. It's frustrating, demoralizing, and dumb. AVOID THIS PLACE. You'll get depressed here.

I can't think of a single positive thing about working here. You might find some cool people to hang out with.

Leadership in upper management exhibits a lack of TRUST and ABUSE.
Micromanagement causes a lot more stress than being left alone and working independently. Upper management's leadership shows NO TRUST, thinking employees would fail or lie about their work. Makes them control freaks, ABUSIVE of their authority, and still resort to blaming which is AWFUL!

Extremely toxic micromanagement
The toxic management really annoys the employees in this place. We all suffer under the same set of toxic managers, and that's something that we actually bond about. The managers are extreme micromanagers who will never stop breathing over your shoulders whenever you are doing something at work.

The Leadership Was Really and Insulting!
THE LEADERSHIP WAS TRULY TERRIBLE HERE. The people in the upper management had a group of sorts, and THEY LIKED CRITICIZING EMPLOYEES AND MOCKING THEM. It was horrible because they insulted you in front of the whole office and never appreciated you. It made the entire WORKPLACE TOXIC.

Also, THE TOP MANAGEMENT BLATANTLY LIES ABOUT TRAINING AND GROWTH OPPORTUNITIES when there are none. It led to high employee turnover. BEWARE!

They don't deserve to be leaders
We work up to complete exhaustion on a daily basis, and I've reached a point where I couldn't even drag myself to work, The managers and supervisors who are supposed to support us, don't show up when we needed their help. We have no idea what they do, but they don't deserve to be leaders.


Pros:
Whether you're newly hired, all employees are eligible to receive incentives and benefits.

No reason to be here
There's no reason to be in this terrible place. Working here means sacrificing your work-life balance while also not having any stability in your job. The salary is also awfully low compared to the company's competitors, not to mention the lack of salary raises and opportunities for advancement. There are plenty of other companies that have a better work environment and culture and higher salary than this one, so there's reason for anyone to stay here.

Stressful Ticket Load
The ticket load was very high, so I was dealing with stress most of the time. The upper management was no hiring enough tech support people to be able to solve all the tickets swiftly. It was horrible. Avoid if possible.

Good while it's good
Where do i begin? First of all, the management in the office I worked in was a bunch of folks with over inflated egos of themselves who treated their subordinates in a terrible manner. The company chews up young employees. if you didn't fit the culture, then they found ways to harass you until you quit. There were really good engineers who were mistreated until they quit.

All about achieving goals and targets
We are asked to work even on weekends and not take a break if we have to. Everything here is about achieving goals and hitting targets and they don't care about employee welfare and wellbeing.

Great on the outside. Terrible on the inside
The level of skill and leadership through the entire Engineering department leaves a lot to be desired. Expect to put in 10+ hour days, you will work weekends often. With offices all over the world you are expected to work all hours to accommodate different time zones. When you ask for deadlines, everything needs to be done ""yesterday"". My advice, take the job if it is last resort.

A joke of a workplace.
Management uses intimidation to apply pressure on employees. Healthy feedback on business decisions is seen as threatening and seen to be grounds for termination for a number of employees. If you started working here recently, be warned, get out while you still can.

None whatsoever, I would not recommend this place to start your career at all."
Intel-Corporation,"





Great place to work
Very technical and interesting job. The teams within my department were bright and a pleasure to work with, for the most part. I would recommend this job for fresh college graduates looking to gain good engineering work experience in the semiconductor industry.


1

5
Aging tech company attempting reform
I worked at Intel for over 20 years. The company is so large that there are opportunities for one to change roles and grow; however, it can be challenging to move into a totally different area. Intel is one of the oldest tech companies today. It has a strong corporate culture and is in the process of attempting to evolve into a different type of company. One that manufactures for others and not just itself. Just like any other large organization, it can be quite nepotistic, but that's to be expected. Overall, it is a huge, multi-national corporation that has all the benefits and drawbacks that comes with that.

Great pay and benefits with bad culture
I'm a fab engineer. It's a high pressure environment with an unsupportive work culture, but it pays well and work life balance has improved in recent years

Lost their way
Intel are used to be a higher flyer valued creativity from its employees. It is now a top down organization that does not appreciate feedback. With their business decisions, layoffs are always possible.

Great place to work overall.
What is the best part of working at the company?
Great benefits. Very smart people. The company is going through a down cycle but will make it back.

What is the most stressful part about working at the company?
Every year for 12 years I was not sure if I would still have a job due to constant reorgs.

What is the work environment and culture like at the company?
Hard work but family is always considered a top priority.

What is a typical day like for you at the company?
Meetings, meetings, meetings. All remote.

Near constant uncertainty
Company tends to reorganize and change directions too often
Too many failed attempts to grow business have resulted in losses and job losses
Much of your experience, good or bad depends on your manager

Great Environment
Great development environment. The career paths are plentiful and the ability to develop a network provides room growth. Leadership can be turbulent at times.

Decent pay, Archaic management and decision making
The pay is decent but far from competitive however the decisions made where purely based on quantity out and not quality. Management ignored complaints about literally broken system. That is not metaphorical the systems we used literally did not work and we were told to just deal with it. In the current market I would not advise Intel as a welcoming environment to work in.

Good place to work
Nice work-life balance. Decent amount of pay, allow you to work from home. The managers are quite cooperative and keen to learn in most of the groups.

Wouldn’t recommend
Management is terrible; most of them are Boomers, so you can get a fair idea of what type of people you will be working with.

Also, inclusion is a big deal here, so no matter how qualified you are, if you are not a minority, good luck.

Don’t get me wrong, you may be really, really lucky and land in one of those positions where everything is perfect, but it is unlikely. Unless you know someone, you will not be landing in these positions. The company is truly about who you know.

If, however, you decide to go for it after reading this review, make sure you negotiate your salary. Don’t fall for the “bonuses” or the “incentives” that they promise, as this can be taken away at any point (which happened this year). So make sure you get what you are worth.

Incredibly fun, challenging work and high expectations that make you proud!
What is the best part of working at the company?
Flexible working environment, challenging work, ridiculously smart people, learning every day, great benefits, growth and mobility, investment in learning

What is the most stressful part about working at the company?
Expectations are high here. You have to be ready to put your whole self into your work everyday, but it pays off!

What is the work environment and culture like at the company?
People work hard and play hard. We have a lot of fun, have community events and local employee activities, but we also work incredibly hard. The hours are reasonable, but the expectations are high.

What is a typical day like for you at the company?
I work from home most days. I start around 8, spend most of my day in meetings and almost never catch up, but I love my colleagues and believe we are changing the world, so it's all good.

Good place to work
I love the people that I work with The higher ups actually listen Room for growth They encourage me to be my best Everyone is so supportive The company gives back to the community

very average boring work place
Intel is not for someone who wants to think out of the box and has ambition to grow.
Pay is okay, Management is fine if you don't want promotion or pay raise.

Coworkers were great
I like the intent that the managers had. They tried to ensure everyone received what they needed. Coworkers were great to he around and the work was easy.
Benefits were fantastic but the pay was on the low end.

Production is top priority; training only happens rarely, yet you are expected to know
a typical day starts at 0740 am or 1940 pm with pass down meeting of what happened on the previous shift and what needs to be done. The senior employees pick and choose what they are doing and the rest of the duties are handed out to junior employees. As a technician, you will ask and ask for training from senior personnel and they will do it if they like you, when they are in a good mood. If you are an engineer, then you will receive links to learn your module and an advisor that wants you to figure it out and will give you HINTS on how to solve your issues. You will attend many Teams meetings and after 3 months you will be required to understand the specifics and how to resolve them. As a junior engineer after certification, you will go on an on call rotation which is 24 hours a day for 7 consecutive days. Essentially you will sit in front of a couple screens all day and watch the production events and also be given action required (ARs) projects. Timing is everything and you need to immediately engage with the floor if there is a production abort or tool problem. When you are new or an engineer for the first five years, you will be required to go on call every other week. You will not have time to go out and you will sleep with your work phone by your bed. There will be a morning meeting at 0740, so you will need to always be online by at least 0600 am and look at production details that recently occurred, problems, consumable changes, overall preventive maintenance schedules for all your tools. I was in CMP so we had approximately 100 tools for the techs

gym on campus
too many to list
Fun workplace
Great place to work learned a lot met interesting people, good management decent pay decent health benefits onsite gym and doctor good work life balance

Fun technology
State of the art tech. Pays well, good management, great benefits. Always some new project in the works. Company has a good world wide reputation and makes good products

Great Place To Work
What is the best part of working at the company?
Intel was booming! It truly was a Great Place to Work. Treated us with respect and allowed us to do our jobs without getting in our way - they empowered us

What is the most stressful part about working at the company?
at the end, there were layoffs every six months

Excellent
""Thriving in Intel's dynamic labor role! Diverse tasks keep it engaging. Supportive team, cutting-edge environment. A rewarding journey in innovation!""

Great Company
Good company too much work.
First day at work there was an orientation and they teach you everything you need to know but right after you get lots of tasks

Culture
The work day can be very gruling, but err go the nature of the business. You get back what you put into it. Intel has a Culture of Caring, which means they truly care about their employees and their contractors. I was a Construction EHS Engineer for 3 years, and 2 years prior to that, an EHS Engineer contractor.

Work/Home life can be very challenging. It can be easy to get caught up in your work so much that your home life can have an impact. But it is critical for you to recognize this and speak with your manager, as that balance needs to be in place. Intel Management (the good ones at least) will ensure you maintain that balance.

Culture of Caring for the people that work on an intel campus
Potential Work/Life balance impacts"
